SALES_SUM,THIRD,PRODUCT_GROUP,PRODUCER
0.85,3,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
1.08,2,PÕHIROA KONTSENTRAADID,OOO MAREVEN FOOD
1.59,3,"SINK, VORST",SAAREMAA LIHATÖÖSTUS OÜ
4.99,1,KANGE ALKOHOL,LIVIKO
0.19,3,PIIMATOOTED,EESTI
1.48,3,"SINK, VORST",OSKAR LT AS
1.19,3,PIIMATOOTED,TERE AS
0.48,3,SUUVÄRSKENDAJAD,WRIGLEY
1.62,4,PIIM,FARMI PIIMATÖÖSTUS AS
0.75,2,KOMMID,KALEV
0.99,3,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
0.75,1,KOMMID,KALEV
1.26,3,"KÜPSISED, VAHVLID",STABURADZES KONDITOREJA SIA
0.99,2,ÕLU,SAKU ÕLLETEHAS
1.02,3,PAGARITOOTED,EESTI PAGAR
0.39,2,VÄRSKE KÖÖGIVILI,HISPAANIA
1.25,1,KOMMID,MARMITON
0.58,2,KARTUL,EESTI
2.39,1,KONDIITRITOOTED,EESTI PAGAR
0.55,2,PAGARITOOTED,FAZER EESTI AS
1.29,3,KUIVAINED,HIINA
0.795,2,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.72,3,PAGARITOOTED,EESTI PAGAR
1.45,1,KONDIITRITOOTED,EESTI LEIVATÖÖSTUS
1.55,3,VÄRSKE KÖÖGIVILI,PRANTSUSMAA
2.49,3,KONDIITRITOOTED,EESTI PAGAR
1.39,3,JOGURT,TERE AS
0.59,2,PIIM,FARMI PIIMATÖÖSTUS AS
0.75,3,PAGARITOOTED,EESTI LEIVATÖÖSTUS
0.7,3,PAGARITOOTED,EESTI PAGAR
1.15,2,PIIM,TERE AS
0.55,2,PAGARITOOTED,EESTI PAGAR
0.58,3,PIIM,FARMI PIIMATÖÖSTUS AS
1.15,1,"KÜPSISED, VAHVLID",MARIS GILDEN AS
2.19,2,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
1.89,1,"SINK, VORST",ATRIA EESTI AS
2.25,1,VALMISTOIT,PÕLVA TÜ
1.15,2,HÜGIEENITOOTED,COLGATE&PALMOLIVE
0.59,1,JÄÄTIS,INGMAN LEDAI
0.42,3,HÜGIEENITOOTED,CASATREND
2.79,1,VÄLISMAINE RAHVUSTOIT,SANTA MARIA AS
0.59,3,VALMISTOIT,MAKSIKÖÖK
3.59,2,KOSMEETIKA,LOREAL
8.46,1,JUUSTUD,FARMI PIIMATÖÖSTUS AS
0.95,3,VESI,A. LE COQ
1.45,3,KÖÖGIVILJAKONSERV,UNGARI
2.59,3,VÄRSKE LIHA,SAAREMAA LIHATÖÖSTUS OÜ
1.2,3,"KÜPSISED, VAHVLID",KALEV
